Formalisasi,Stopword Removal
"['bingung', 'kenapa', 'tidak', 'ada', 'tunggak', 'tidak', 'ada', 'cicil', 'tidak', 'ada', 'terlambat', 'belum', 'tanggal', 'sudah', 'bayar', 'ehh', 'mau', 'aju', 'alas', 'macam', 'padahal', 'sudah', 'lunas', 'bagaimana', 'konsumen', 'mau', 'senang', 'kalau', 'kayak', 'gin']",bingung tunggak cicil terlambat tanggal bayar ehh aju alas lunas konsumen senang kayak gin
"['sangat', 'bantu', 'di', 'saat', 'terjang', 'butuh', 'yang', 'sangat', 'banyak', 'bang', 'divo', 'kredivo', 'beri', 'solusi', 'sempat', 'untuk', 'bantu', 'butuh', 'rekan', 'sekali', 'di', 'saat', 'pepet', 'seperti', 'saya', 'ini', 'disclaimer', 'di', 'untuk', 'untuk', 'yang', 'sudah', 'hasil', 'sudah', 'kerja', 'iya', 'gaes', 'sekian', 'terima', 'kasih']",bantu terjang butuh bang divo kredivo solusi bantu butuh rekan pepet disclaimer hasil kerja iya gaes sekian terima kasih
"['cukup', 'bantu']",bantu
"['dulu', 'susah', 'banget', 'sekarang', 'mudah', 'mudah', 'dan', 'cepat', 'tapi', 'kalau', 'bisa', 'krediflaz', 'nya', 'tidak_hanya', 'kasih', 'sekali', 'saja', 'pokok', 'kredivo', 'mantap', 'lah', 'apa', 'benar', 'kredivo', 'keluar', 'kartu', 'fisik', 'seperti', 'kartu', 'atm', 'tidak_sesal', 'pakai', 'kredivo']",susah banget mudah mudah cepat krediflaz nya tidak hanya kasih pokok kredivo mantap kredivo kartu fisik kartu atm tidak sesal pakai kredivo
"['bayar', 'lebih', 'cepat', 'dari', 'waktu', 'limit', 'tidak_naik', 'bahkan', 'tidak_bisa', 'ambil', 'kembali', 'harus', 'tunggu', 'bulan', 'depan', 'dengan', 'alas', 'aman', 'lagi', 'ribet']",bayar cepat limit tidak naik tidak bisa ambil tunggu alas aman ribet
"['simpel', '', 'mudah', 'sangat', 'manfaat', 'ga', 'prlu', 'ribet', 'untuk', 'laku', 'transaksi', 'online', 'bisa', 'juga', 'kalau', 'kita', 'lagi', 'butuh', 'uang', 'pepet', 'tinggal', 'pilih', 'mau', 'brpa', 'bulan', 'semoga', 'kredivo', 'tambah', 'sukses', 'lagi', 'tambah', 'kembang', 'semoga', 'kredivo', 'tambah', 'maju', 'dan', 'bmyk', 'mati', 'masyarakat', 'indonesia', 'kalau', 'bisa', 'bunga', 'kecil', 'biar', 'jangkau', 'rakyat', 'kecil']",simpel  mudah manfaat ga prlu ribet laku transaksi online butuh uang pepet tinggal pilih brpa semoga kredivo sukses kembang semoga kredivo maju bmyk mati masyarakat indonesia bunga biar jangkau rakyat
"['aplikasi', 'mudah', 'guna', 'dan', 'bantu', 'tenor', 'dan', 'bunga', 'juga', 'saing', 'dengan', 'aplikasi', 'la', 'transaksi', 'dengan', 'qris', 'juga', 'mudah', 'tanpa', 'perlu', 'isi', 'saldo', 'tapi', 'sayang', 'limit', 'kredit', 'di', 'bagi', 'bagi', 'seperti', 'kuota', 'data', 'jadi', 'agak', 'bingung', 'dan', 'untuk', 'naik', 'limit', 'sangat', 'susah']",aplikasi mudah bantu tenor bunga saing aplikasi la transaksi qris mudah isi saldo sayang limit kredit kuota data bingung limit susah
"['di', 'blokir', 'permanen', 'bos', 'dengan', 'alas', 'isu', 'aman', 'tidak_pernah', 'terlambat', 'bayar', 'makin', 'aneh', 'saja', 'aplikasi', 'ini']",blokir permanen bos alas isu aman tidak pernah terlambat bayar aneh aplikasi
"['aneh', 'banget', 'bayar', 'selalu', 'tepat', 'waktu', 'bahkan', 'beberapa', 'belum', 'jatuh', 'tempo', 'habis', 'itu', 'bahkan', 'tidak_bisa', 'aju', 'lagi', 'sekarang', 'kok', 'gin', 'iya', 'tidak_kyak', 'dulu', 'tiap', 'lancar', 'bayar', 'bisa', 'ambil', 'lagi', 'sekarang', 'lancar', 'tidak_jamin', 'bisa', 'ambil', 'pinjam']",aneh banget bayar jatuh tempo habis tidak bisa aju gin iya tidak kyak lancar bayar ambil lancar tidak jamin ambil pinjam
"['bantu', 'sekali']",bantu
"['akun', 'saya', 'tiba', 'tiba', 'tidak_bisa', 'transaksi', 'karena', 'alas', 'ada', 'yang', 'jatuh', 'tempo', 'tapi', 'semua', 'sudah', 'di', 'bayar', 'jauh', 'belum', 'tanggal', 'jatuh', 'tempo', 'konsumen', 'servis', 'pun', 'tidak_beri', 'solusi']",akun tidak bisa transaksi alas jatuh tempo bayar tanggal jatuh tempo konsumen servis tidak beri solusi
"['dulu', 'sih', 'bagus', 'makin', 'kesini', 'makin', 'tipe', 'akun', 'saya', 'premium', 'dan', 'sdh', 'pakai', 'tahun', 'tanpa', 'pernah', 'terlambat', 'bayar', 'pun', 'tapi', 'mau', 'belanja', 'online', 'tidak_bisa', 'karena', 'bilang', 'belum', 'penuh', 'kriteria', 'nilai', 'kan', 'kocak']",sih bagus kesini tipe akun premium sdh pakai terlambat bayar belanja online tidak bisa bilang penuh kriteria nilai kocak
"['saya', 'sdh', 'tahun', 'lebih', 'di', 'aplikasi', 'ini', 'dan', 'tidak', 'pernah', 'alami', 'sulit', 'saat', 'mau', 'aju', 'pinjam', 'aplikasi', 'yang', 'sangat', 'bantu', 'abang', 'saya', 'di', 'saat', 'butuh', 'terima kasih', 'kredivo', 'atas', 'pelayananx']",sdh aplikasi alami sulit aju pinjam aplikasi bantu abang butuh terima kasih kredivo pelayananx
"['moga', 'di', 'accord']",moga accord
"['sangat', 'puas']",puas
"['aplikasi', 'tidak_guna', 'sama', 'sekali', 'hati', 'kalau', 'aju', 'pinjam', 'di', 'sini']",aplikasi tidak guna hati aju pinjam
